frase,rotulo
"Paciente apresenta cansaço após subir escadas ocasional, com melhora espontânea após poucos minutos. O paciente permanece em bom estado geral.",baixo risco
Paciente apresenta dor intensa no peito com falta de ar importante. O sintoma começou há poucos minutos.,alto risco
Paciente sente palpitações intensas acompanhadas de tontura intensa. Há grande desconforto no momento.,alto risco
Paciente relata dor torácica súbita com dificuldade para respirar. O sintoma começou há poucos minutos.,alto risco
"Paciente refere fraqueza leve discreto após um dia cansativo, mantendo as atividades normalmente. Não houve desmaio.",baixo risco
"Paciente refere palpitação isolada discreto após um dia cansativo, mantendo as atividades normalmente. Não houve desmaio.",baixo risco
"Paciente relata cansaço após subir escadas leve e passageiro, sem piora nas atividades habituais. Não houve desmaio.",baixo risco
"Paciente apresenta cansaço leve após esforço habitual, com recuperação rápida em repouso.",baixo risco
"Paciente apresenta palpitação isolada ocasional, com melhora espontânea após poucos minutos.",baixo risco
"Paciente relata pressão forte no peito, batimentos muito irregulares e sensação de mal-estar. O quadro piorou rapidamente.",alto risco
Paciente teve desmaio e agora relata palidez e suor frio. Há grande desconforto no momento.,alto risco
"Paciente apresenta dor de cabeça leve leve após esforço habitual, com recuperação rápida em repouso.",baixo risco
Paciente sente palpitações intensas acompanhadas de falta de ar importante.,alto risco
"Paciente relata pressão forte no peito, palidez e suor frio e sensação de mal-estar. O quadro piorou rapidamente.",alto risco
"Paciente relata mal-estar passageiro leve e passageiro, sem piora nas atividades habituais.",baixo risco
"Paciente apresenta falta de ar leve ao esforço ocasional, com melhora espontânea após poucos minutos. O paciente permanece em bom estado geral.",baixo risco
Paciente apresenta falta de ar em repouso associada a palidez e suor frio. O sintoma começou há poucos minutos.,alto risco
"Paciente refere cansaço discreto após um dia cansativo, mantendo as atividades normalmente.",baixo risco
Paciente teve desmaio e agora relata dor irradiando para a mandíbula. Há grande desconforto no momento.,alto risco
Paciente sente palpitações intensas acompanhadas de sensação de desmaio. Há grande desconforto no momento.,alto risco
Paciente relata dor torácica súbita com palidez e suor frio.,alto risco
"Paciente relata pressão forte no peito, batimentos muito irregulares e sensação de mal-estar. Há grande desconforto no momento.",alto risco
"Paciente apresenta falta de ar leve ao esforço leve após esforço habitual, com recuperação rápida em repouso. O paciente permanece em bom estado geral.",baixo risco
Paciente sente palpitações intensas acompanhadas de dor irradiando para a mandíbula.,alto risco
Paciente teve desmaio e agora relata irradiação para o braço esquerdo. O quadro piorou rapidamente.,alto risco
"Paciente refere falta de ar leve ao esforço discreto após um dia cansativo, mantendo as atividades normalmente. Não houve desmaio.",baixo risco
"Paciente relata respiração ofegante após caminhada esporádico e de curta duração, sem limitação funcional.",baixo risco
"Paciente relata pressão forte no peito, palidez e suor frio e sensação de mal-estar. Há grande desconforto no momento.",alto risco
"Paciente relata aperto torácico discreto esporádico e de curta duração, sem limitação funcional.",baixo risco
"Paciente percebe mal-estar passageiro de baixa intensidade, sem outros sintomas associados. Não há piora progressiva.",baixo risco
"Paciente apresenta desconforto torácico discreto leve após esforço habitual, com recuperação rápida em repouso. O paciente permanece em bom estado geral.",baixo risco
"Paciente relata pressão forte no peito, palidez e suor frio e sensação de mal-estar. O sintoma começou há poucos minutos.",alto risco
"Paciente relata respiração ofegante após caminhada leve e passageiro, sem piora nas atividades habituais. Não houve desmaio.",baixo risco
Paciente relata dor torácica súbita com confusão e fraqueza.,alto risco
"Paciente relata fraqueza leve esporádico e de curta duração, sem limitação funcional. Não há piora progressiva.",baixo risco
Paciente teve desmaio e agora relata palidez e suor frio. O quadro piorou rapidamente.,alto risco
Paciente apresenta falta de ar em repouso associada a suor frio. O sintoma começou há poucos minutos.,alto risco
Paciente relata dor torácica súbita com fraqueza súbita.,alto risco
Paciente apresenta dor intensa no peito com palidez e suor frio. O sintoma começou há poucos minutos.,alto risco
"Paciente relata palpitação isolada esporádico e de curta duração, sem limitação funcional. O paciente permanece em bom estado geral.",baixo risco
"Paciente apresenta sensação de coração acelerado ocasional, com melhora espontânea após poucos minutos. Não houve desmaio.",baixo risco
Paciente sente palpitações intensas acompanhadas de fraqueza súbita. Há grande desconforto no momento.,alto risco
"Paciente apresenta mal-estar passageiro ocasional, com melhora espontânea após poucos minutos. Não houve desmaio.",baixo risco
"Paciente apresenta aperto torácico discreto ocasional, com melhora espontânea após poucos minutos. Não há piora progressiva.",baixo risco
"Paciente refere palpitação isolada discreto após um dia cansativo, mantendo as atividades normalmente.",baixo risco
Paciente apresenta falta de ar em repouso associada a fraqueza súbita. O quadro piorou rapidamente.,alto risco
"Paciente percebe falta de ar leve ao esforço de baixa intensidade, sem outros sintomas associados. O paciente permanece em bom estado geral.",baixo risco
"Paciente relata pressão forte no peito, irradiação para o braço esquerdo e sensação de mal-estar. O quadro piorou rapidamente.",alto risco
"Paciente apresenta desconforto torácico discreto ocasional, com melhora espontânea após poucos minutos. Não há piora progressiva.",baixo risco
Paciente sente palpitações intensas acompanhadas de palidez e suor frio. O sintoma começou há poucos minutos.,alto risco
Paciente sente palpitações intensas acompanhadas de dificuldade para respirar.,alto risco
"Paciente refere tontura leve discreto após um dia cansativo, mantendo as atividades normalmente. Não há piora progressiva.",baixo risco
"Paciente apresenta dor de cabeça leve leve após esforço habitual, com recuperação rápida em repouso. Não houve desmaio.",baixo risco
"Paciente relata mal-estar passageiro leve e passageiro, sem piora nas atividades habituais. Não houve desmaio.",baixo risco
Paciente relata dor torácica súbita com falta de ar importante. O quadro piorou rapidamente.,alto risco
Paciente sente palpitações intensas acompanhadas de dor irradiando para a mandíbula. O quadro piorou rapidamente.,alto risco
Paciente apresenta dor intensa no peito com suor frio. O sintoma começou há poucos minutos.,alto risco
Paciente apresenta dor intensa no peito com falta de ar importante. O quadro piorou rapidamente.,alto risco
"Paciente relata pressão forte no peito, sensação de desmaio e sensação de mal-estar.",alto risco
Paciente sente palpitações intensas acompanhadas de tontura intensa.,alto risco
"Paciente refere aperto torácico discreto discreto após um dia cansativo, mantendo as atividades normalmente. O paciente permanece em bom estado geral.",baixo risco
"Paciente apresenta sensação de coração acelerado leve após esforço habitual, com recuperação rápida em repouso. Não há piora progressiva.",baixo risco
